2020-06-04 09:55:39,395 | koubei_autohome.py | INFO  | 车系：{'I': 4460, 'N': '奥迪Q7新能源'} 口碑数据获取完成!
2020-06-04 09:55:39,396 | koubei_autohome.py | INFO  | 车系：{'I': 4460, 'N': '奥迪Q7新能源'} 获取记录保存成功!
2020-06-04 09:55:39,397 | koubei_autohome.py | INFO  | 车系：{'I': 4288, 'N': '奥迪Q8'} 口碑数据获取中...
2020-06-04 09:55:39,509 | koubei_autohome.py | INFO  | 车系：{'I': 4288, 'N': '奥迪Q8'} 口碑数据获取完成!
2020-06-04 09:55:39,510 | koubei_autohome.py | INFO  | 车系：{'I': 4288, 'N': '奥迪Q8'} 获取记录保存成功!
2020-06-04 09:55:39,512 | koubei_autohome.py | INFO  | 车系：{'I': 2730, 'N': '奥迪S3'} 口碑数据获取中...
2020-06-04 09:55:39,634 | koubei_autohome.py | INFO  | 车系：{'I': 2730, 'N': '奥迪S3'} 口碑数据获取完成!
2020-06-04 09:55:39,635 | koubei_autohome.py | INFO  | 车系：{'I': 2730, 'N': '奥迪S3'} 获取记录保存成功!
2020-06-04 09:55:39,636 | koubei_autohome.py | INFO  | 车系：{'I': 2732, 'N': '奥迪S4'} 口碑数据获取中...
2020-06-04 09:55:39,744 | koubei_autohome.py | INFO  | 车系：{'I': 2732, 'N': '奥迪S4'} 口碑数据获取完成!
2020-06-04 09:55:39,745 | koubei_autohome.py | INFO  | 车系：{'I': 2732, 'N': '奥迪S4'} 获取记录保存成功!
2020-06-04 09:55:39,746 | koubei_autohome.py | INFO  | 车系：{'I': 2734, 'N': '奥迪S5'} 口碑数据获取中...
2020-06-04 09:55:39,863 | koubei_autohome.py | INFO  | 车系：{'I': 2734, 'N': '奥迪S5'} 口碑数据获取完成!
2020-06-04 09:55:39,864 | koubei_autohome.py | INFO  | 车系：{'I': 2734, 'N': '奥迪S5'} 获取记录保存成功!
2020-06-04 09:55:39,865 | koubei_autohome.py | INFO  | 车系：{'I': 2736, 'N': '奥迪S6'} 口碑数据获取中...
2020-06-04 09:55:40,023 | koubei_autohome.py | INFO  | 车系：{'I': 2736, 'N': '奥迪S6'} 口碑数据获取完成!
2020-06-04 09:55:40,024 | koubei_autohome.py | INFO  | 车系：{'I': 2736, 'N': '奥迪S6'} 获取记录保存成功!
2020-06-04 09:55:40,025 | koubei_autohome.py | INFO  | 车系：{'I': 2738, 'N': '奥迪S7'} 口碑数据获取中...
2020-06-04 09:55:40,127 | koubei_autohome.py | INFO  | 车系：{'I': 2738, 'N': '奥迪S7'} 口碑数据获取完成!
2020-06-04 09:55:40,128 | koubei_autohome.py | INFO  | 车系：{'I': 2738, 'N': '奥迪S7'} 获取记录保存成功!
2020-06-04 09:55:40,129 | koubei_autohome.py | INFO  | 车系：{'I': 2739, 'N': '奥迪S8'} 口碑数据获取中...
2020-06-04 09:55:40,255 | koubei_autohome.py | INFO  | 车系：{'I': 2739, 'N': '奥迪S8'} 口碑数据获取完成!
2020-06-04 09:55:40,256 | koubei_autohome.py | INFO  | 车系：{'I': 2739, 'N': '奥迪S8'} 获取记录保存成功!
2020-06-04 09:55:40,257 | koubei_autohome.py | INFO  | 车系：{'I': 2841, 'N': '奥迪SQ5'} 口碑数据获取中...
2020-06-04 09:55:40,361 | koubei_autohome.py | INFO  | 车系：{'I': 2841, 'N': '奥迪SQ5'} 口碑数据获取完成!
2020-06-04 09:55:40,363 | koubei_autohome.py | INFO  | 车系：{'I': 2841, 'N': '奥迪SQ5'} 获取记录保存成功!
2020-06-04 09:55:40,364 | koubei_autohome.py | INFO  | 车系：{'I': 148, 'N': '奥迪TT'} 口碑数据获取中...
2020-06-04 09:55:40,487 | koubei_autohome.py | INFO  | 车系：{'I': 148, 'N': '奥迪TT'} 口碑数据获取完成!
2020-06-04 09:55:40,488 | koubei_autohome.py | INFO  | 车系：{'I': 148, 'N': '奥迪TT'} 获取记录保存成功!
2020-06-04 09:55:40,489 | koubei_autohome.py | INFO  | 车系：{'I': 2740, 'N': '奥迪TTS'} 口碑数据获取中...
2020-06-04 09:55:40,605 | koubei_autohome.py | INFO  | 车系：{'I': 2740, 'N': '奥迪TTS'} 口碑数据获取完成!
2020-06-04 09:55:40,606 | koubei_autohome.py | INFO  | 车系：{'I': 2740, 'N': '奥迪TTS'} 获取记录保存成功!
2020-06-04 09:55:40,607 | koubei_autohome.py | INFO  | 车系：{'I': 4325, 'N': '奥迪A3新能源(进口)(停售)'} 口碑数据获取中...
2020-06-04 09:55:40,724 | koubei_autohome.py | INFO  | 车系：{'I': 4325, 'N': '奥迪A3新能源(进口)(停售)'} 口碑数据获取完成!
2020-06-04 09:55:40,725 | koubei_autohome.py | INFO  | 车系：{'I': 4325, 'N': '奥迪A3新能源(进口)(停售)'} 获取记录保存成功!
2020-06-04 09:55:40,726 | koubei_autohome.py | INFO  | 车系：{'I': 2447, 'N': '巴博斯 CLS级'} 口碑数据获取中...
