2020-06-04 11:33:33,382 | model_koubei.py | INFO  | 程序开始时间：2020-06-04 11:33:33.381712
2020-06-04 11:33:33,420 | model_koubei.py | INFO  | 车系：4502 口碑数据获取中...
2020-06-04 11:33:47,478 | model_koubei.py | INFO  | 车系：4502 口碑：1913830 数据获取中...
2020-06-04 11:33:48,491 | model_koubei.py | INFO  | 车系：4502 口碑：1975992 数据获取中...
2020-06-04 11:33:48,926 | model_koubei.py | INFO  | 车系：4502 口碑：1936376 数据获取中...
2020-06-04 11:33:49,399 | model_koubei.py | INFO  | 车系：4502 口碑：1827000 数据获取中...
2020-06-04 11:33:49,606 | model_koubei.py | INFO  | 车系：4502 口碑：2248874 数据获取中...
2020-06-04 11:33:49,908 | model_koubei.py | INFO  | 车系：4502 口碑：2228542 数据获取中...
2020-06-04 11:33:50,290 | model_koubei.py | INFO  | 车系：4502 口碑：2204366 数据获取中...
2020-06-04 11:33:50,894 | model_koubei.py | INFO  | 车系：4502 口碑：2128546 数据获取中...
2020-06-04 11:33:51,117 | model_koubei.py | INFO  | 车系：4502 口碑：2114301 数据获取中...
2020-06-04 11:33:51,442 | model_koubei.py | INFO  | 车系：4502 口碑：2043702 数据获取中...
2020-06-04 11:33:51,684 | model_koubei.py | INFO  | 车系：4502 口碑：1942738 数据获取中...
2020-06-04 11:33:52,095 | model_koubei.py | INFO  | 车系：4502 口碑：1928060 数据获取中...
2020-06-04 11:33:52,424 | model_koubei.py | INFO  | 车系：4502 口碑：1916638 数据获取中...
2020-06-04 11:33:52,865 | model_koubei.py | INFO  | 车系：4502 口碑：1906219 数据获取中...
2020-06-04 11:33:53,120 | model_koubei.py | INFO  | 车系：4502 口碑：1900526 数据获取中...
2020-06-04 11:33:53,420 | model_koubei.py | INFO  | 车系：4502 口碑：1886384 数据获取中...
2020-06-04 11:33:53,689 | model_koubei.py | INFO  | 车系：4502 口碑：1881044 数据获取中...
2020-06-04 11:33:54,053 | model_koubei.py | INFO  | 车系：4502 口碑：2619715 数据获取中...
2020-06-04 11:33:54,405 | model_koubei.py | INFO  | 车系：4502 口碑：2594085 数据获取中...
2020-06-04 11:33:54,589 | model_koubei.py | INFO  | 车系：4502 口碑：2173874 数据获取中...
2020-06-04 11:33:54,874 | model_koubei.py | INFO  | 车系：4502 口碑：2254636 数据获取中...
2020-06-04 11:33:55,105 | model_koubei.py | INFO  | 车系：4502 口碑：2254455 数据获取中...
2020-06-04 11:33:55,322 | model_koubei.py | INFO  | 车系：4502 口碑：2241818 数据获取中...
2020-06-04 11:33:55,621 | model_koubei.py | INFO  | 车系：4502车型口碑ID列表获取完成。
2020-06-04 11:33:55,748 | model_koubei.py | INFO  | 车系：4502 口碑：2202674 数据获取中...
2020-06-04 11:33:55,927 | model_koubei.py | INFO  | 车系：4502 口碑：2231379 数据获取中...
2020-06-04 11:33:56,296 | model_koubei.py | INFO  | 车系：4502 口碑：2218082 数据获取中...
2020-06-04 11:33:56,643 | model_koubei.py | INFO  | 车系：4502 口碑：2217507 数据获取中...
2020-06-04 11:33:56,907 | model_koubei.py | INFO  | 车系：4502 口碑：2190427 数据获取中...
2020-06-04 11:33:57,314 | model_koubei.py | INFO  | 车系：4502 口碑：2190351 数据获取中...
2020-06-04 11:33:57,721 | model_koubei.py | INFO  | 车系：4502 口碑：2176291 数据获取中...
2020-06-04 11:33:57,968 | model_koubei.py | INFO  | 车系：4502 口碑：2095860 数据获取中...
2020-06-04 11:33:58,385 | model_koubei.py | INFO  | 车系：4502 口碑：2090933 数据获取中...
2020-06-04 11:33:58,571 | model_koubei.py | INFO  | 车系：4502 口碑：2037817 数据获取中...
2020-06-04 11:33:58,827 | model_koubei.py | INFO  | 车系：4502 口碑：1845940 数据获取中...
2020-06-04 11:33:59,004 | model_koubei.py | INFO  | 车系：4502 口碑：2012573 数据获取中...
2020-06-04 11:33:59,367 | model_koubei.py | INFO  | 车系：4502 口碑：1953992 数据获取中...
2020-06-04 11:33:59,603 | model_koubei.py | INFO  | 车系：4502 口碑：1940344 数据获取中...
2020-06-04 11:33:59,820 | model_koubei.py | INFO  | 车系：4502 口碑：1936571 数据获取中...
2020-06-04 11:34:00,170 | model_koubei.py | INFO  | 车系：4502 口碑：1935401 数据获取中...
2020-06-04 11:34:00,466 | model_koubei.py | INFO  | 车系：4502 口碑：1931110 数据获取中...
2020-06-04 11:34:00,635 | model_koubei.py | INFO  | 车系：4502 口碑：1928654 数据获取中...
2020-06-04 11:34:00,898 | model_koubei.py | INFO  | 车系：4502 口碑：1877130 数据获取中...
2020-06-04 11:34:01,248 | model_koubei.py | INFO  | 车系：4502 口碑：1906330 数据获取中...
2020-06-04 11:34:01,532 | model_koubei.py | INFO  | 车系：4502 口碑：1893568 数据获取中...
2020-06-04 11:34:01,639 | model_koubei.py | INFO  | 车系：4502 口碑：1885708 数据获取中...
2020-06-04 11:34:01,946 | model_koubei.py | INFO  | 车系：4502 口碑：1878640 数据获取中...
2020-06-04 11:34:02,276 | model_koubei.py | INFO  | 车系：4502 口碑：1876521 数据获取中...
2020-06-04 11:34:02,491 | model_koubei.py | INFO  | 车系：4502 口碑：1869417 数据获取中...
2020-06-04 11:34:02,847 | model_koubei.py | INFO  | 车系：4502 口碑：1865659 数据获取中...
2020-06-04 11:34:03,168 | model_koubei.py | INFO  | 车系：4502 口碑：1865557 数据获取中...
2020-06-04 11:34:03,488 | model_koubei.py | INFO  | 车系：4502 口碑：1913830 数据获取中...
2020-06-04 11:34:03,547 | model_koubei.py | INFO  | 车系：4502 口碑：1975992 数据获取中...
2020-06-04 11:34:03,620 | model_koubei.py | INFO  | 车系：4502 口碑：1936376 数据获取中...
2020-06-04 11:34:03,678 | model_koubei.py | INFO  | 车系：4502 口碑：1827000 数据获取中...
2020-06-04 11:34:03,732 | model_koubei.py | INFO  | 车系：4502 口碑：2248874 数据获取中...
2020-06-04 11:34:03,944 | model_koubei.py | INFO  | 车系：4502 口碑：2228542 数据获取中...
